geogname	lat	long
Allée Adrienne Lecouvreur	48.8560311	2.3003825
Allée Alexandre Vialatte	48.8221294	2.357008
Allée Alquier-Debrousse	48.8613608	2.4088677
Allée André Breton	48.8631361	2.3459796
Allée Anne de Beaujeu	48.8790455	2.3728772
Allée Arthur Honegger	48.8881045	2.3946266
Allée Célestin Hennion	48.8553606	2.3477684
Allée d'Andrézieux	48.8924565	2.3525932
Allée Darius Milhaud	48.8843106	2.3897053
Allée de la Bertelotte	48.8299533	2.2748862
Allée de la Comtesse de Ségur	48.879467	2.30904
Allée de la Garance	48.8888272	2.3896979
Allée de la Reine Marguerite	48.8618014	2.2470172
Allée de Madrid À Neuilly	48.8766272	2.2571233
Allée des Bouleaux	48.8727993	2.2622319
Allée des Brouillards	48.8885631	2.3378953
Allée des Buttes	48.825544	2.427127
Allée des Cardinoux	48.8997518	2.3721488
Allée des Cygnes	48.8533636	2.2844426
Allée des Eiders	48.8938336	2.3787324
Allée des Fortifications	48.855732	2.2618183
Allée des Frères Voisin	48.8283908	2.2726366
Allée des Hortensias	48.8278732	2.3147707
Allée des Justes de France	48.8552413	2.3557813
Allée des Lapins	48.8332586	2.4257375
Allée des Mauves	48.8568336	2.4083136
Allée des Orgues de Flandre	48.889851	2.374181
Allée des Poteaux	48.8721325	2.2708272
Allée des Vergers	48.8337593	2.3961575
Allée Diane de Poitiers	48.8735081	2.3783889
Allée du Bord de l'Eau	48.865681	2.2311536
Allée du Brindeau	48.8852431	2.3761671
Allée du Canal	48.8937405	2.3897419
Allée du Capitaine Dronne	48.8396697	2.3174336
Allée du Château Ouvrier	48.8342278	2.3186426
Allée du Chef d'Escadron de Guillebon	48.8393857	2.3196548
Allée du Commandant Raynal	48.8422688	2.2786102
Allée du Général Denain	48.8521145	2.2940888
Allée du Général Koenig	48.8818832	2.2841722
Allée du Parc de Choisy	48.8258093	2.3602155
Allée du Père Julien Dhuit	48.872494	2.3864938
Allée du Philosophe	48.8556428	2.3841423
Allée du Professeur Jean Bernard	48.8755462	2.3624913
Allée du Révérend Père Michel Riquet	48.8512456	2.3336943
Allée Fortunée	48.8494346	2.2488568
Allée Gabrielle d'Estrées	48.8735816	2.3789751
Allée Gaston Bachelard	48.8263419	2.3152806
Allée Georges Rouault	48.8696447	2.3837484
Allée Henri Dunant	48.8277424	2.314092
Allée Jules Supervielle	48.8624222	2.3445885
Allée le Gramat	48.8426358	2.2789369
Allée Louise Labé	48.875046	2.3779605
Allée Maintenon	48.8459928	2.3214183
Allée Marc Chagall	48.8199083	2.3605084
Allée Marcel Jambenoire	48.8203606	2.3470942
Allée Marcel Proust	48.8674032	2.3174936
Allée Marguerite Yourcenar	48.8524362	2.2945997
Allée Marie Laurent	48.8497497	2.4035962
Allée Marius Barroux	48.878227	2.4057624
Allée Maurice Baumont	48.8580089	2.2966168
Allée Pernette du Guillet	48.8750295	2.3769532
Allée Pierre Mollaret	48.8997694	2.3731054
Allée Pilatre de Rozier	48.8601575	2.2696168
Allée Rimsky-Korsakov	48.895311	2.365861
Allée Rodenbach	48.833826	2.3379014
Allée Royale	48.8314568	2.4332017
Allée Samuel Beckett	48.8289171	2.3344274
Allée Suzanne Lenglen	48.8471335	2.2484382
Allée Thomy-Thierry	48.8547795	2.2975563
Allée Verhaeren	48.8336011	2.3377963
Allée Verte	48.8593924	2.3703751
Allée Vivaldi	48.8414842	2.3915911
Arsenal	48.8520593	2.3654105
Avenue de la Conservation	48.8966743	2.313934
Avenue des Champs-Élysées	48.8697452	2.3079456
Avenue Albert 1er de Monaco	48.8603519	2.2904683
Avenue Albert Bartholomé	48.8284739	2.2966355
Avenue Albert de Mun	48.8630073	2.2918573
Avenue Alphand	48.8750904	2.2853069
Avenue Alphonse XIII	48.8564742	2.281247
Avenue Ambroise Rendu	48.8848039	2.3958969
Avenue Anatole France	48.8555688	2.299149
Avenue André Rivoire	48.8186633	2.3329519
